split,city,filename,image_width,image_height,person_10_proportion,person_11_proportion,person_12_proportion,person_13_proportion,person_14_proportion,person_15_proportion,person_16_proportion,person_17_proportion,person_18_proportion,person_19_proportion,person_1_proportion,person_20_proportion,person_21_proportion,person_22_proportion,person_23_proportion,person_24_proportion,person_25_proportion,person_26_proportion,person_27_proportion,person_28_proportion,person_29_proportion,person_2_proportion,person_30_proportion,person_31_proportion,person_32_proportion,person_33_proportion,person_34_proportion,person_35_proportion,person_36_proportion,person_37_proportion,person_38_proportion,person_39_proportion,person_3_proportion,person_40_proportion,person_41_proportion,person_42_proportion,person_43_proportion,person_44_proportion,person_45_proportion,person_46_proportion,person_47_proportion,person_48_proportion,person_49_proportion,person_4_proportion,person_50_proportion,person_51_proportion,person_52_proportion,person_53_proportion,person_54_proportion,person_55_proportion,person_56_proportion,person_57_proportion,person_58_proportion,person_59_proportion,person_5_proportion,person_60_proportion,person_61_proportion,person_62_proportion,person_63_proportion,person_64_proportion,person_65_proportion,person_66_proportion,person_67_proportion,person_68_proportion,person_69_proportion,person_6_proportion,person_70_proportion,person_71_proportion,person_72_proportion,person_73_proportion,person_74_proportion,person_75_proportion,person_76_proportion,person_77_proportion,person_78_proportion,person_79_proportion,person_7_proportion,person_80_proportion,person_81_proportion,person_82_proportion,person_83_proportion,person_84_proportion,person_85_proportion,person_86_proportion,person_87_proportion,person_88_proportion,person_89_proportion,person_8_proportion,person_90_proportion,person_91_proportion,person_92_proportion,person_93_proportion,person_94_proportion,person_95_proportion,person_9_proportion,building_10_proportion,building_11_proportion,building_12_proportion,building_13_proportion,building_14_proportion,building_15_proportion,building_16_proportion,building_17_proportion,building_18_proportion,building_19_proportion,building_1_proportion,building_20_proportion,building_2_proportion,building_3_proportion,building_4_proportion,building_5_proportion,building_6_proportion,building_7_proportion,building_8_proportion,building_9_proportion,car_10_proportion,car_11_proportion,car_12_proportion,car_13_proportion,car_14_proportion,car_15_proportion,car_16_proportion,car_17_proportion,car_18_proportion,car_19_proportion,car_1_proportion,car_20_proportion,car_21_proportion,car_22_proportion,car_23_proportion,car_24_proportion,car_25_proportion,car_26_proportion,car_27_proportion,car_28_proportion,car_29_proportion,car_2_proportion,car_30_proportion,car_31_proportion,car_32_proportion,car_33_proportion,car_34_proportion,car_35_proportion,car_36_proportion,car_37_proportion,car_38_proportion,car_39_proportion,car_3_proportion,car_40_proportion,car_41_proportion,car_42_proportion,car_43_proportion,car_44_proportion,car_45_proportion,car_46_proportion,car_47_proportion,car_48_proportion,car_49_proportion,car_4_proportion,car_50_proportion,car_51_proportion,car_52_proportion,car_53_proportion,car_54_proportion,car_55_proportion,car_56_proportion,car_57_proportion,car_5_proportion,car_6_proportion,car_7_proportion,car_8_proportion,car_9_proportion
train,aachen,aachen_000000_000019_gtFine,2048,1024,,,,,,,,,,,0.000388,,,,,,,,,,,0.000476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.365105,,0.045685,,,,,,,,0.004486,0.008228,,,,,,,,,0.008228,,,,,,,,,,,0.004118,,,,,,,,,,,0.004486,,,,,,,,,,,0.001200,,,,,,,,,0.002286,0.003081,0.000352,0.000836,0.002840
train,aachen,aachen_000001_000019_gtFine,2048,1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.302372,,0.001587,,,,,,,,0.001055,0.003140,0.001298,0.000590,0.000759,0.001796,,,,,0.000208,,,,,,,,,,,0.000274,,,,,,,,,,,0.000891,,,,,,,,,,,0.000550,,,,,,,,,0.001249,0.000719,0.000820,0.000916,0.005814
train,aachen,aachen_000002_000019_gtFine,2048,1024,,,,,,,,,,,0.000389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.320089,,0.000704,0.001928,,,,,,,,,,,,,,,,,0.000545,,,,,,,,,,,0.000328,,,,,,,,,,,0.000162,,,,,,,,,,,0.000351,,,,,,,,,0.000433,0.024131,0.030387,,
train,aachen,aachen_000003_000019_gtFine,2048,1024,,,,,,,,,,,0.000565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.483918,,0.005803,,,,,,,,0.015512,,,,,,,,,,0.001581,,,,,,,,,,,0.002261,,,,,,,,,,,0.003546,,,,,,,,,,,0.001701,,,,,,,,,0.004017,0.003676,0.009928,0.048439,0.000154
train,aachen,aachen_000004_000019_gtFine,2048,1024,,,,,,,,,,,0.000394,,,,,,,,,,,0.000136,,,,,,,,,,,0.001629,,,,,,,,,,,0.000337,,,,,,,,,,,0.001163,,,,,,,,,,,0.002131,,,,,,,,,,,0.000778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.074278,,0.307176,,,,,,,,0.001983,0.002527,0.010622,0.001400,0.002263,0.000513,,,,,0.000805,,,,,,,,,,,0.000621,,,,,,,,,,,0.000984,,,,,,,,,,,0.000926,,,,,,,,,0.001027,0.000350,0.001487,0.001667,0.001531
train,aachen,aachen_000005_000019_gtFine,2048,1024,0.000150,0.000181,,,,,,,,,0.001495,,,,,,,,,,,0.001386,,,,,,,,,,,0.001679,,,,,,,,,,,0.000539,,,,,,,,,,,0.000104,,,,,,,,,,,0.000708,,,,,,,,,,,0.000107,,,,,,,,,,,0.000238,,,,,,,0.000260,,,,,,,,,,,0.483149,,,,,,,,,,0.000639,0.001567,0.002129,0.001642,0.005990,0.002706,,,,,0.000242,,,,,,,,,,,0.001369,,,,,,,,,,,0.000473,,,,,,,,,,,0.000592,,,,,,,,,0.001698,0.041892,0.000269,0.000256,0.000473
train,aachen,aachen_000006_000019_gtFine,2048,1024,,,,,,,,,,,0.000013,,,,,,,,,,,0.000073,,,,,,,,,,,0.002318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000423,0.000378,0.000137,,,,,,,,0.000767,,0.001722,0.000266,0.000756,0.000368,0.000177,0.000563,0.000298,0.000224,0.001518,0.011419,0.001923,0.005476,0.007255,0.008677,0.000199,0.000271,0.000283,0.001297,0.000258,0.000027,0.011055,,,,,,,,,0.000760,,,,,,,,,,,0.000566,,,,,,,,,,,0.000711,,,,,,,,,0.000599,0.001157,0.000350,0.000312,0.000472
train,aachen,aachen_000007_000019_gtFine,2048,1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.380184,,,,,,,,,,,,,,,,,,,,0.000728,,,,,,,,,,,0.005719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train,aachen,aachen_000008_000019_gtFine,2048,1024,0.000227,,,,,,,,,,0.000925,,,,,,,,,,,0.000987,,,,,,,,,,,0.001456,,,,,,,,,,,0.000059,,,,,,,,,,,0.000053,,,,,,,,,,,0.000329,,,,,,,,,,,0.000219,,,,,,,,,,,0.000258,,,,,,,0.000209,,,,,,,,,,,0.312102,,,,,,,,,,,,,,,,,,,,0.004376,,,,,,,,,,,0.001301,,,,,,,,,,,0.000678,,,,,,,,,,,0.000126,,,,,,,,,0.000675,,,,
train,aachen,aachen_000009_000019_gtFine,2048,1024,,,,,,,,,,,0.002297,,,,,,,,,,,0.002889,,,,,,,,,,,0.001794,,,,,,,,,,,0.001006,,,,,,,,,,,0.001271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.239557,,0.236892,,,,,,,,,,,,,,,,,,0.000538,,,,,,,,,,,0.000587,,,,,,,,,,,0.000318,,,,,,,,,,,0.000359,,,,,,,,,0.003711,0.000972,0.000669,0.000960,0.007129
